
Vol Alpha,2.366870,-1.158831,4
Alcor,3.513457,0.959723,4.01
Aqr Tau2,5.975971,-0.237234,4.01
Cyg 41,5.364248,0.530032,4.01
Dra Theta,4.197030,1.022157,4.01
Pav Zeta,4.900165,-1.246655,4.01
Psc Omega,6.280182,0.119788,4.01
Pyx Gamma,2.314881,-0.483631,4.01
Sco Nu,4.241128,-0.339651,4.01
Sgr Beta1,5.072967,-0.775954,4.01
Tri Gamma,0.599150,0.590745,4.01
Aql 12,4.981519,-0.100163,4.02
Aql Epsilon,4.972545,0.262992,4.02
Aqr Eta,5.913859,-0.002051,4.02
Cnc Iota,2.298148,0.501957,4.02
Crv Alpha,3.178303,-0.431601,4.02
Cyg Rho,5.646060,0.795730,4.02
Eri Mu,1.245736,-0.056806,4.02
Nor Gamma2,4.275359,-0.875380,4.02
Cam Beta,1.323912,1.054916,4.03
Cru Mu1,3.379801,-0.997940,4.03
Del Epsilon,5.380908,0.197280,4.03
Oph 70,4.736191,0.043624,4.03
Vir Nu,3.079895,0.113960,4.03
Cru Zeta,3.222031,-1.117064,4.04
Eri Omicron1,1.098968,-0.119337,4.04
Lyr 13,4.953833,0.767004,4.04
Per 48,1.084991,0.832740,4.04
Per Xi,1.042682,0.624673,4.04
Boo Theta,3.775133,0.904968,4.05
Cen Psi,3.754887,-0.661223,4.05
Leo Sigma,2.972019,0.105234,4.05
Lup Lambda,3.965577,-0.790280,4.05
Lup Rho,3.830503,-0.862644,4.05
Per Iota,0.824959,0.865916,4.05
And Zeta,0.206552,0.423543,4.06
Ara Epsilon1,4.448779,-0.927827,4.06
Gem Upsilon,1.989334,0.469421,4.06
Boo Upsilon,3.619275,0.275723,4.07
CMa Theta,1.807245,-0.210113,4.07
Cap Theta,5.523734,-0.300769,4.07
Cet Delta,0.695877,0.005735,4.07
Cha Alpha,2.175233,-1.342502,4.07
Cir Beta,4.003407,-1.026273,4.07
Ori Omicron2,1.293165,0.235872,4.07
Per Phi,0.452302,0.884683,4.07
Cep Mu,5.687621,1.025905,4.08
Crt Alpha,2.878812,-0.319376,4.08
Crt Gamma,2.988360,-0.308642,4.08
Peg 1,5.594158,0.345653,4.08
Vir Iota,3.735070,-0.104729,4.08
And Upsilon,0.422355,0.722663,4.09
Eri Tau3,0.795834,-0.412324,4.09
Hyi Delta,0.618494,-1.198333,4.09
Ori Phi2,1.470025,0.162151,4.09
Ser Kappa,4.139659,0.316632,4.09
Cap Omega,5.462102,-0.469828,4.11
Cha Gamma,2.772754,-1.371965,4.11
CrA Alpha,5.015516,-0.661557,4.11
CrA Beta,5.017945,-0.686627,4.11
Eri Iota,0.701041,-0.695611,4.11
Gru Delta2,5.889432,-0.763572,4.11
Hyi Epsilon,0.696343,-1.191483,4.11
Mus Epsilon,3.218249,-1.186140,4.11
Tau 5,0.920108,0.225787,4.11
TrA Epsilon,4.087212,-1.157449,4.11
CMa Gamma,1.848995,-0.272853,4.12
Gru Zeta,6.025226,-0.920734,4.12
Hya Upsilon1,2.580811,-0.259123,4.12
Ori Mu,1.581196,0.168381,4.12
Per Theta,0.716458,0.859197,4.12
Vir Omicron,3.164318,0.152421,4.12
Lac 1,5.829269,0.658842,4.13
Peg Kappa,5.692588,0.447590,4.13
Psc Iota,6.195701,0.098199,4.13
Sgr Iota,5.215313,-0.730740,4.13
Tel Zeta,4.838191,-0.856448,4.13
And Kappa,6.197701,0.773772,4.14
Cap Psi,5.437115,-0.441059,4.14
CrB Theta,4.070675,0.547321,4.14
Ori 29,1.413484,-0.136276,4.14
Per Mu,1.112204,0.844904,4.14
CrB Epsilon,4.178267,0.469106,4.15
Cru Eta,3.171620,-1.127720,4.15
Gem Nu,1.697173,0.352770,4.15
Lib Theta,4.161847,-0.291984,4.15
Mon Delta,1.884367,-0.008601,4.15
Oct Beta,5.960539,-1.420378,4.15
Aqr Theta,5.833036,-0.135845,4.16
Cas Kappa,0.143990,1.098365,4.16
Gem 1,1.588773,0.406022,4.16
Hya Delta,2.258703,0.099547,4.16
Oph 44,4.565650,-0.421938,4.17
PsA Epsilon,5.936985,-0.472000,4.17
Boo Lambda,3.736677,0.804393,4.18
Gem Rho,1.959619,0.554743,4.18
Tau 23,0.987536,0.417977,4.18
Cen 2,3.619137,-0.601280,4.19
Cep Epsilon,5.825182,0.995599,4.19
Her 110,4.911626,0.358602,4.19
Peg Xi,5.963325,0.212455,4.19
Vir Kappa,3.721464,-0.179308,4.19
Her Sigma,4.337594,0.740664,4.2
Ori 32,1.443322,0.103813,4.2
Pup 11,2.080687,-0.399331,4.2
Aqr Psi1,6.090726,-0.158612,4.21
LMi Beta,2.739658,0.640662,4.21
Ori Zeta,1.486846,-0.033908,4.21
PsA Delta,6.003707,-0.567925,4.21
Aqr Phi,6.083883,-0.105573,4.22
Cep Theta,5.365062,1.099456,4.22
Cyg 52,5.435224,0.536160,4.22
Dra Phi,4.802964,1.245079,4.22
Pav Gamma,5.613168,-1.140854,4.22
Pav Lambda,4.940227,-1.085377,4.22
Sct Beta,4.918229,-0.082864,4.22
Tau Kappa1,1.157888,0.389102,4.22
Cen 1,3.602738,-0.576725,4.23
Cyg Chi,5.194820,0.574461,4.23
Cyg Pi2,5.701962,0.860612,4.23
Cyg Sigma,5.573782,0.687568,4.23
Eri Tau6,0.989813,-0.405784,4.23
Lup Theta,4.217552,-0.642320,4.23
Per 16,0.744317,0.668786,4.23
Per Psi,0.944616,0.841123,4.23
Tuc Zeta,0.087579,-1.132278,4.23
UMi Epsilon,4.389365,1.431820,4.23
Aps Beta,4.376748,-1.352936,4.24
Cap Alpha1,5.312993,-0.218312,4.24
And Phi,0.303266,0.824527,4.25
Ant Alpha,2.736465,-0.542235,4.25
Cet Pi,0.716123,-0.241878,4.25
Cnc Alpha,2.349591,0.206957,4.25
Dor Gamma,1.117127,-0.898612,4.25
Eri Kappa,0.641343,-0.832590,4.25
Lyn 31,2.194032,0.753774,4.25
Per 58,1.207288,0.720205,4.25
Tau 88,1.202772,0.177340,4.25
UMi 5,3.785292,1.321146,4.25
Aur Pi,1.570513,0.801751,4.26
CVn Beta,3.288818,0.721825,4.26
Cha Beta,3.221638,-1.384259,4.26
Com Beta,3.455199,0.486564,4.26
Her Phi,4.227057,0.784264,4.26
Psc Omicron,0.459865,0.159833,4.26
Ser Omicron,4.631297,-0.224716,4.26
Vir Tau,3.672376,0.026956,4.26
Aqr Iota,5.787672,-0.242072,4.27
Cen Xi2,3.433543,-0.871026,4.27
Cet Mu,0.719694,0.176526,4.27
Del Gamma2,5.439573,0.281420,4.27
Eri Lambda,1.348907,-0.152789,4.27
Eri Tau5,0.932828,-0.377563,4.27
Lup Mu,4.007858,-0.835576,4.27
Tau 90,1.213695,0.218355,4.27
Vel Gamma1,2.135796,-0.826341,4.27
Cap Iota,5.594857,-0.293816,4.28
Cet Xi2,0.646463,0.147655,4.28
Gem Sigma,2.021579,0.504114,4.28
Gru Theta,6.051406,-0.759577,4.28
Hya Beta,3.110657,-0.591807,4.28
Oph Phi,4.324657,-0.289948,4.28
Psc Epsilon,0.274642,0.137706,4.28
Psc Theta,6.143421,0.111333,4.28
Tau 10,0.946288,0.007010,4.28
Tau Tau,1.231526,0.400674,4.28
Tau Upsilon,1.161989,0.398173,4.28
And Iota,6.187789,0.755170,4.29
Cam Alpha,1.283035,1.157900,4.29
Cep Nu,5.696093,1.066760,4.29
Cep Xi,5.776124,1.127968,4.29
Lep Lambda,1.394409,-0.229976,4.29
Oph 45,4.569948,-0.521277,4.29
Peg Pi2,5.803162,0.579071,4.29
Per Lambda,1.075923,0.878798,4.29
PsA Beta,5.897053,-0.564546,4.29
Sgr Beta2,5.075505,-0.781903,4.29
Tau Delta3,1.158419,0.312904,4.29
Tau Mu,1.114982,0.155199,4.29
Cyg 33,5.294449,0.987294,4.3
Hya Eta,2.283000,0.059317,4.3
Leo Upsilon,3.041011,-0.014380,4.3
Lyr Delta2,4.950205,0.644007,4.3
Tau 19,0.982657,0.427034,4.3
Boo Mu1,4.033849,0.652356,4.31
Crv Eta,3.281524,-0.282675,4.31
Leo Lambda,2.494599,0.400868,4.31
Scl Alpha,0.255720,-0.512385,4.31
Aql 71,5.403270,-0.019291,4.32
CMi Gamma,1.955481,0.155780,4.32
Eri 54,1.223658,-0.343335,4.32
Hya 12,2.296744,-0.236453,4.32
Lup Omicron,3.890513,-0.760537,4.32
Oct Delta,3.782630,-1.460278,4.32
Sco Omega2,4.221101,-0.364226,4.32
UMi Zeta,4.119232,1.357769,4.32
CMa Xi1,1.709790,-0.408727,4.33
Cas Theta,0.310247,0.962544,4.33
Cru Theta1,3.154792,-1.105016,4.33
Lup Omega,4.093030,-0.742943,4.33
Lyr Kappa,4.799052,0.629443,4.33
Psc Alpha,0.532529,0.048234,4.33
Ser Nu,4.541470,-0.224221,4.33
Cen Upsilon2,3.672711,-0.795933,4.34
Lup 2,4.004796,-0.526197,4.34
Mon Zeta,2.131891,-0.052079,4.34
Oph Sigma,4.566283,0.072261,4.34
Peg 9,5.692006,0.302815,4.34
PsA Iota,5.693904,-0.576410,4.34
Ari Delta,0.836144,0.344295,4.35
Aur Kappa,1.637897,0.514838,4.35
Cha Theta,2.184461,-1.352359,4.35
Dor Delta,1.504357,-1.147302,4.35
Eri Theta2,0.777857,-0.703445,4.35
Lup Tau2,3.779423,-0.792021,4.35
Lyn 15,1.820706,1.019665,4.35
Pav Pi,4.749826,-1.111222,4.35
Vol Epsilon,2.128996,-1.197596,4.35
And Pi,0.160927,0.588515,4.36
Aql Iota,5.134417,-0.022452,4.36
Cen Chi,3.691575,-0.718722,4.36
Col Gamma,1.560048,-0.615810,4.36
Com Gamma,3.259133,0.493375,4.36
Her 102,4.750604,0.363281,4.36
Her 111,4.917560,0.317325,4.36
Hya Rho,2.305725,0.101888,4.36
Lac 5,5.888435,0.832643,4.36
Lep Kappa,1.366731,-0.225870,4.36
Lyr Theta,5.045609,0.665557,4.36
Lyr Zeta1,4.907750,0.656331,4.36
Ori Pi2,1.268033,0.155339,4.36
Pav Xi,4.813734,-1.073271,4.36
Per Sigma,0.918807,0.837676,4.36
Phe Eta,0.189165,-1.002920,4.36
Tau 37,1.067683,0.385403,4.36
UMi Delta,4.591154,1.511218,4.36
And Epsilon,0.168228,0.511585,4.37
CMa Iota,1.815739,-0.297651,4.37
Cet Xi1,0.580322,0.154403,4.37
Col Kappa,1.643017,-0.613318,4.37
Leo 31,2.652486,0.174489,4.37
Scl Beta,6.165252,-0.660054,4.37
Sge Alpha,5.149143,0.314402,4.37
Sge Beta,5.153296,0.305016,4.37
Sgr Theta1,5.234839,-0.615689,4.37
Tuc Beta1,0.137641,-1.098825,4.37
